	データ名	グループ属性	L*(C)	a*(C)	b*(C)
  2700 	2700 (2022/01/25 15:27:16)	SCI	35.22	12.21	10.48
  2701 	b IBk Z11	SCI	24.30	0.09	-0.80
  2702 	2702 (2022/01/25 15:27:43)	SCI	24.25	0.14	-0.76
  2703 	2703 (2022/01/25 15:27:53)	SCI	24.34	0.10	-0.84
  2704 	2704 (2022/01/25 15:28:06)	SCI	24.21	0.10	-0.76
  2705 	2705 (2022/01/25 15:28:16)	SCI	24.21	0.09	-0.75
  2706 	2706 (2022/01/25 15:28:26)	SCI	24.23	0.11	-0.74
  2707 	h CbB Z1	SCI	31.18	19.21	-41.34
  2708 	2708 (2022/01/25 15:29:19)	SCI	31.31	19.20	-41.38
  2709 	2709 (2022/01/25 15:29:28)	SCI	31.42	19.11	-41.33
  2710 	2710 (2022/01/25 15:29:39)	SCI	31.08	19.10	-41.28
  2711 	2711 (2022/01/25 15:29:48)	SCI	31.15	19.08	-41.34
  2712 	2712 (2022/01/25 15:29:57)	SCI	31.37	18.90	-41.20
  2713 	h GnGy Z1	SCI	53.81	-15.88	12.25
  2714 	2714 (2022/01/25 15:30:35)	SCI	53.88	-15.88	12.24
  2715 	2715 (2022/01/25 15:30:45)	SCI	53.95	-15.89	12.30
  2716 	2716 (2022/01/25 15:30:56)	SCI	53.91	-15.77	12.06
  2717 	2717 (2022/01/25 15:31:06)	SCI	53.93	-15.90	12.32
  2718 	2718 (2022/01/25 15:31:15)	SCI	54.02	-15.87	12.23
  2719 	b IBk Z12	SCI	24.58	0.15	-0.64
  2720 	2720 (2022/01/25 15:31:45)	SCI	24.34	0.17	-0.66
  2721 	2721 (2022/01/25 15:31:53)	SCI	24.27	0.14	-0.64
  2722 	2722 (2022/01/25 15:32:05)	SCI	24.37	0.18	-0.54
  2723 	2723 (2022/01/25 15:32:14)	SCI	24.29	0.14	-0.55
  2724 	2724 (2022/01/25 15:32:23)	SCI	24.26	0.15	-0.68
  2725 	h LmY Z1	SCI	92.38	-17.10	78.89
  2726 	2726 (2022/01/25 15:32:57)	SCI	92.44	-17.04	79.04
  2727 	2727 (2022/01/25 15:33:06)	SCI	92.49	-17.05	79.06
  2728 	2728 (2022/01/25 15:33:19)	SCI	91.36	-18.86	77.16
  2729 	2729 (2022/01/25 15:33:28)	SCI	91.47	-18.65	77.18
  2730 	2730 (2022/01/25 15:33:38)	SCI	91.73	-18.48	77.64
  2731 	p IBk Z1	SCI	24.32	0.09	-0.46
  2732 	2732 (2022/01/25 15:34:09)	SCI	24.25	0.17	-0.43
  2733 	2733 (2022/01/25 15:34:19)	SCI	24.33	0.10	-0.57
  2734 	2734 (2022/01/25 15:34:29)	SCI	24.28	0.15	-0.56
  2735 	2735 (2022/01/25 15:34:38)	SCI	24.26	0.12	-0.53
  2736 	2736 (2022/01/25 15:34:53)	SCI	24.34	0.10	-0.64
  2737 	h TVO Z1	SCI	45.06	-10.37	17.82
  2738 	2738 (2022/01/25 15:35:33)	SCI	44.93	-10.29	17.71
  2739 	2739 (2022/01/25 15:35:42)	SCI	45.04	-10.32	17.74
  2740 	2740 (2022/01/25 15:35:52)	SCI	44.95	-10.36	17.76
  2741 	2741 (2022/01/25 15:36:02)	SCI	44.84	-10.29	17.62
  2742 	2742 (2022/01/25 15:36:11)	SCI	45.24	-10.48	18.02
  2743 	h PGL Z1	SCI	70.54	-35.36	64.02
  2744 	2744 (2022/01/25 15:36:39)	SCI	70.60	-35.32	64.26
  2745 	2745 (2022/01/25 15:36:49)	SCI	70.58	-35.16	64.29
  2746 	2746 (2022/01/25 15:37:02)	SCI	70.49	-35.25	64.10
  2747 	2747 (2022/01/25 15:37:13)	SCI	70.61	-35.26	64.42
  2748 	2748 (2022/01/25 15:37:23)	SCI	70.65	-35.25	64.52
  2749 	b BS Z12	SCI	35.01	13.90	11.51
  2750 	2750 (2022/01/25 15:37:52)	SCI	35.09	14.07	11.72
  2751 	2751 (2022/01/25 15:38:03)	SCI	35.08	13.98	11.61
  2752 	2752 (2022/01/25 15:38:14)	SCI	35.02	14.03	11.70
  2753 	2753 (2022/01/25 15:38:23)	SCI	35.09	13.96	11.58
  2754 	2754 (2022/01/25 15:38:33)	SCI	35.08	13.98	11.58
  2755 	d CdGLH Z1	SCI	60.45	-49.85	49.24
  2756 	2756 (2022/01/25 15:39:02)	SCI	60.43	-49.94	49.39
  2757 	2757 (2022/01/25 15:39:11)	SCI	60.71	-49.86	49.93
  2758 	2758 (2022/01/25 15:39:23)	SCI	60.44	-49.92	49.41
  2759 	2759 (2022/01/25 15:39:31)	SCI	60.52	-49.85	49.44
  2760 	2760 (2022/01/25 15:39:40)	SCI	60.71	-49.89	49.96
  2761 	d PW Z1	SCI	97.46	-1.30	2.58
  2762 	2762 (2022/01/25 15:40:08)	SCI	97.47	-1.24	2.53
  2763 	2763 (2022/01/25 15:40:17)	SCI	97.57	-1.28	2.68
  2764 	2764 (2022/01/25 15:40:30)	SCI	97.19	-1.45	2.13
  2765 	2765 (2022/01/25 15:40:39)	SCI	97.28	-1.42	2.28
  2766 	2766 (2022/01/25 15:40:49)	SCI	97.46	-1.40	2.42
  2767 	b PGL Z1	SCI	70.96	-36.11	58.30
  2768 	2768 (2022/01/25 15:41:16)	SCI	70.94	-36.06	58.35
  2769 	2769 (2022/01/25 15:41:25)	SCI	70.93	-35.99	58.39
  2770 	2770 (2022/01/25 15:41:36)	SCI	70.89	-36.00	58.34
  2771 	2771 (2022/01/25 15:41:46)	SCI	70.88	-35.98	58.37
